"district","street_type","name"
"Подільський","Вулиця","Боричів Тік"
"Дарницький","Вулиця","Борова"
"Дарницький","Вулиця","Борова"
"Дарницький","Провулок","Боровий"
"Дарницький","Провулок","Боровий"
"Оболонський","Вулиця","Боровиковського"
"Голосіївський","Вулиця","Боровиченко Марії"
"Святошинський","Провулок","Бородянський"
"Дарницький","Вулиця","Бортницька"
"Дарницький","Вулиця","Бортницька"
"Дарницький","Провулок","Бортницький"
"Дарницький","Провулок","Бортницький 1-й"
"Дарницький","Провулок","Бортницький 2-й"
"Солом'янський","Вулиця","Борщагівська"
"Шевченківський","Вулиця","Борщагівська"
"Шевченківський","Площа","Ботанічна"
"Солом'янський","Вулиця","Боткіна"
"Деснянський","Вулиця","Братиславська"
"Дніпровський","Вулиця","Братиславська"
"Подільський","Вулиця","Братська"
"Дарницький","Вулиця","Брацлавська"
"Святошинський","Шосе","Брест-Литовське"
"Шевченківський","Провулок","Брест-Литовський"
"Подільський","Вулиця","Брестська"
"Деснянський","Провулок","Броварський"
"Деснянський","Проспект","Броварський"
"Дніпровський","Проспект","Броварський"
"Голосіївський","Вулиця","Бродівська"
"Голосіївський","Провулок","Бродівський"
"Голосіївський","Провулок","Бродівський 2-й"
"Святошинський","Вулиця","Брусилівська"
"Солом'янський","Вулиця","Брюллова"
"Подільський","Вулиця","Брюсова"
"Солом'янський","Вулиця","Брянська"
"Голосіївський","Вулиця","Бубнова Андрія"
"Шевченківський","Вулиця","Бугорна"
"Шевченківський","Провулок","Бугорний"
"Святошинський","Вулиця","Бударіна"
"Деснянський","Вулиця","Будищанська"
"Деснянський","Вулиця","Будівельників"
"Дніпровський","Вулиця","Будівельників"
"Дніпровський","Провулок","Будівельників"
"Голосіївський","Вулиця","Будіндустрії"
"Дарницький","Вулиця","Будьонного"
"Дарницький","Провулок","Будьонного 1-й"
"Дарницький","Провулок","Будьонного 2-й"
"Дарницький","Вулиця","Бузинова"
"Голосіївський","Вулиця","Буйка Професора"
"Святошинський","Вулиця","Букіної Раїси"
"Святошинський","Провулок","Букіної Раїси"
"Голосіївський","Вулиця","Буковинська"
"Святошинський","Вулиця","Булаховського Академіка"
"Святошинський","Вулиця","Булгакова"
"Подільський","Провулок","Бурденка"
"Голосіївський","Вулиця","Бурмистенка"
"Голосіївський","Провулок","Бурмистенка"
"Печерський","Вулиця","Буслівська"
"Дніпровський","Вулиця","Бутлерова Академіка"
"Святошинський","Вулиця","Бучанська"
"Дніпровський","Вулиця","Бучми Амвросія"
"Шевченківський","Вулиця","Вавилових"
"Дарницький","Вулиця","Вакуленчука"
"Дарницький","Провулок","Вакуленчука"
"Подільський","Вулиця","Валківська"
"Шевченківський","Вулиця","Василевської Ванди"
"Солом'янський","Вулиця","Василенка Миколи"
"Солом'янський","Вулиця","Василівська"
"Голосіївський","Вулиця","Васильківська"
"Голосіївський","Провулок","Васильківський"
"Солом'янський","Вулиця","Васильченка"
"Дніпровський","Вулиця","Васнецова"
"Солом'янський","Вулиця","Ватутіна"
"Деснянський","Проспект","Ватутіна Генерала"
"Дарницький","Вулиця","Ващенка Григорія"
"Подільський","Вулиця","Введенська"
"Шевченківський","Вулиця","Велика Житомирська"
